iter	RMSE
0	18363.99839
1	15472.20173
2	14016.0656
3	13416.79372
4	12731.60253
5	12078.17327
6	11577.32936
7	11060.2859
8	10694.95061
9	10173.10039
10	10097.07216
11	9988.040618
12	9506.929513
13	9252.212985
14	8997.318932
15	8942.642098
16	8617.732686
17	8478.393579
18	8464.319168
19	8338.230066
20	8187.241259
21	8141.911137
22	8040.677548
23	7794.940771
24	7644.375779
25	7592.306003
26	7568.112936
27	7375.155565
28	7128.591791
29	6992.388895
30	6837.652645
31	6740.180742
32	6724.670032
33	6669.640315
34	6584.279441
35	6420.289869
36	6355.709819
37	6180.238993
38	6174.03094
39	6133.012895
40	6058.059788
41	5952.278232
42	5824.651808
43	5752.116524
44	5649.636024
45	5562.786693
46	5495.714419
47	5421.07768
48	5383.352875
49	5350.603399
50	5285.346902
51	5280.011749
52	5222.212878
53	5194.541897
54	5112.511573
55	5071.592398
56	5041.412381
57	5019.962298
58	4922.413691
59	4866.782127
60	4765.371031
61	4702.136219
62	4634.570249
63	4609.45097
64	4596.22342
65	4507.921305
66	4450.362109
67	4445.265559
68	4387.022
69	4354.945266
70	4323.406947
71	4216.224343
72	4214.019917
73	4205.879659
74	4151.104897
75	4074.986794
76	4048.47399
77	4006.15137
78	3961.59961
79	3930.776046
80	3868.334866
81	3840.904801
82	3839.725541
83	3808.640672
84	3781.438811
85	3757.483279
86	3702.30508
87	3668.025493
88	3662.583298
89	3657.357611
90	3648.768449
91	3603.43464
92	3587.160065
93	3558.198861
94	3530.266127
95	3520.305305
96	3489.248871
97	3462.692548
98	3388.672602
99	3329.17398
100	3315.110874
101	3313.965282
102	3309.188594
103	3299.765484
104	3232.929247
105	3215.091275
106	3192.130729
107	3184.745191
108	3157.290257
109	3156.333086
110	3109.26851
111	3095.329113
112	3062.953166
113	3051.469649
114	3024.228535
115	3019.259277
116	2998.112289
117	2994.424633
118	2953.165045
119	2930.081467
120	2925.660499
121	2908.444812
122	2901.549903
123	2881.967671
124	2829.419841
125	2819.338223
126	2816.80753
127	2802.72183
128	2785.59648
129	2780.758849
130	2762.485105
131	2761.372826
132	2760.61833
133	2729.918652
134	2717.484394
135	2703.021552
136	2696.957498
137	2694.044187
138	2673.68806
139	2648.025717
140	2622.985593
141	2609.918746
142	2607.51761
143	2600.427692
144	2597.071134
145	2592.250735
146	2582.314102
147	2574.291119
148	2573.583159
149	2548.643156
150	2529.808518
151	2527.955131
152	2527.476967
153	2492.00788
154	2490.295324
155	2470.873305
156	2464.862938
157	2445.291533
158	2443.717207
159	2437.014017
160	2431.727646
161	2422.40185
162	2408.706961
163	2403.175948
164	2394.057174
165	2385.046003
166	2384.095275
167	2382.103902
168	2381.725484
169	2377.050391
170	2374.304772
171	2368.434811
172	2351.970782
173	2349.83003
174	2325.286001
175	2324.616863
176	2324.177873
177	2318.591561
178	2316.833083
179	2313.822014
180	2300.113157
181	2299.960612
182	2293.626189
183	2283.075854
184	2277.347486
185	2271.805562
186	2265.792832
187	2265.646379
188	2257.65003
189	2249.699679
190	2248.328127
191	2244.776748
192	2237.797543
193	2234.205903
194	2224.262117
195	2220.238118
196	2205.873052
197	2199.235409
198	2195.794329
199	2195.585478
