iter	Passed	Remaining
0	1	370
1	3	363
2	5	346
3	7	344
4	8	340
5	10	340
6	12	343
7	14	340
8	15	337
9	17	334
10	19	328
11	20	323
12	22	317
13	23	311
14	25	309
15	26	305
16	28	301
17	29	300
18	31	299
19	33	298
20	34	297
21	36	296
22	38	294
23	40	294
24	41	293
25	43	292
26	45	291
27	47	290
28	49	289
29	50	287
30	52	286
31	54	285
32	56	284
33	57	282
34	59	281
35	61	280
36	63	278
37	65	277
38	66	275
39	68	274
40	70	273
41	72	272
42	74	271
43	76	270
44	77	268
45	79	266
46	81	264
47	83	263
48	84	261
49	86	259
50	88	258
51	90	256
52	91	254
53	93	253
54	95	251
55	97	249
56	98	248
57	100	246
58	102	244
59	104	243
60	105	241
61	107	239
62	109	238
63	111	236
64	112	234
65	114	232
66	116	230
67	118	229
68	119	227
69	121	225
70	123	224
71	125	222
72	126	220
73	128	218
74	130	217
75	132	215
76	133	213
77	135	212
78	137	210
79	139	208
80	141	207
81	142	205
82	144	203
83	146	202
84	148	200
85	149	198
86	151	196
87	153	195
88	155	193
89	156	191
90	158	190
91	160	188
92	162	186
93	163	184
94	165	183
95	167	181
96	169	179
97	170	177
98	172	176
99	174	174
100	176	172
101	177	170
102	179	169
103	181	167
104	183	165
105	185	164
106	186	162
107	188	160
108	190	158
109	192	157
110	193	155
111	195	153
112	197	151
113	199	150
114	201	148
115	202	146
116	204	145
117	206	143
118	208	141
119	209	139
120	211	138
121	213	136
122	215	134
123	216	132
124	218	131
125	220	129
126	222	127
127	223	125
128	225	124
129	227	122
130	229	120
131	230	118
132	232	117
133	234	115
134	236	113
135	237	111
136	239	110
137	241	108
138	243	106
139	245	105
140	246	103
141	248	101
142	250	99
143	252	98
144	253	96
145	255	94
146	257	92
147	259	91
148	261	89
149	262	87
150	264	85
151	266	84
152	268	82
153	269	80
154	271	78
155	273	77
156	275	75
157	276	73
158	278	71
159	280	70
160	282	68
161	284	66
162	285	64
163	287	63
164	289	61
165	291	59
166	292	57
167	294	56
168	296	54
169	298	52
170	299	50
171	301	49
172	303	47
173	305	45
174	307	43
175	309	42
176	310	40
177	312	38
178	314	36
179	316	35
180	317	33
181	319	31
182	321	29
183	323	28
184	324	26
185	326	24
186	328	22
187	330	21
188	331	19
189	333	17
190	335	15
191	337	14
192	338	12
193	340	10
194	342	8
195	344	7
196	346	5
197	347	3
198	349	1
199	351	0
